MatrixSize,BlockSize,Time
32, 8, 0.627104
32, 16, 0.212704
32, 32, 0.192512
32, 64, 0.008544
32, 128, 0.007744
64, 8, 0.411136
64, 16, 0.368352
64, 32, 0.312
64, 64, 0.015712
64, 128, 0.008032
128, 8, 0.554048
128, 16, 0.460512
128, 32, 0.540672
128, 64, 0.008768
128, 128, 0.008192
256, 8, 1.19078
256, 16, 1.09162
256, 32, 1.21651
256, 64, 0.00816
256, 128, 0.00816
512, 8, 5.22608
512, 16, 4.64582
512, 32, 4.81808
512, 64, 0.01072
512, 128, 0.008896
1024, 8, 30.2039
1024, 16, 29.9725
1024, 32, 29.0279
1024, 64, 0.016416
1024, 128, 0.020416
